"route_name","avg"
"72R",15.6594783760637
"LA",14.8781279309698
"L",15.1951296848247
"94",18.971493555724
"79",10.9249102711804
"801",25.1150621375311
"800",24.139357567444
"703",59.3131672597865
"34",15.1232115486156
"200",18.8717629746499
"611",18.5751944684529
"47",15.7529206310972
"653",9.1826774691358
"802",16.5273573923166
"655",15.830723656369
"217",21.4300765610733
"851",18.748080343586
"76",16.6556886370929
"677",12.1175863847344
"70",17.6263948637424
"21",15.9656414127973
"J",16.2262277213734
"696",22.4182217343579
"60",16.1699574643249
"623",19.512021189894
"679",22.2418930762489
"10",12.9897510584251
"638",30.9969696969697
"675",20.3415687456061
"662",21.0947666195191
"646",31.5448963929394
"702",43.9972299168975
"F",19.8400761787111
"7",15.6989745386948
"667",19.44669218152
"212",15.3318881754981
"650",26.172049689441
"840",19.1516314779271
"654",18.5738022261655
"18",13.0446456178926
"628",12.3235591506572
"H",15.7315092567342
"86",16.615831324065
"Z",15.3222174718541
"682",26.5501365587203
"687",17.2681388012618
"704",29.2
"95",15.2714569506524
"71",17.4872322991963
"216",18.1937313038359
"51B",10.3738261413383
"M",27.7018516277381
"658",18.2104885057471
"B",20.8540915265352
"35",17.8114617539115
"41",15.0105771556794
"BSD",8.48559986923831
"660",22.3281753707286
"631",29.5595682041217
"657",16.1667051222889
"V",17.2545651519711
"98",15.7762784171278
"90",13.376055257099
"314",18.7101932045303
"NX4",21.269006595021
"6",11.6886811379047
"OX",15.1234274229453
"649",21.4179349098572
"36",13.2851873538999
"606",18.0700350175088
"652",21.2603448275862
"642",20.9634641407307
"29",13.044442920182
"56",15.5816570303563
"376",21.7153114186851
"356",17.9230769230769
"88",13.3311153217266
"54",16.9550554534625
"G",14.1140423607447
"14",14.8344035698737
"83",13.9807473301962
"74",18.6654823837922
"E",19.404177279674
"710",42.6070496083551
"93",17.2974855336157
"684",17.7284503061705
"C",16.7795091195677
"W",26.134274556924
"629",22.4284460052678
"NX",22.6525289517965
"676",20.2865646258503
"680",18.2486486486486
"605",19.8140684410646
"99",16.1407561237622
"SB",36.7994835019422
"339",17.2666230063949
"52",10.8718724913032
"672",22.326499032882
"707",59.8079847908745
"607",19.578811369509
"28",13.8967893077416
"65",16.3578657913301
"620",21.4405204460967
"73",17.4830408773679
"210",18.1065558086279
"681",14.7569669475049
"62",13.5153673601735
"669",23.3610239072688
"20",13.9913905040252
"97",17.1621421353991
"FS",14.427424145223
"40",15.0185421583665
"617",22.6901779828609
"668",14.9666215606676
"251",17.2960470229282
"NX1",13.982472832891
"232",21.6985940054496
"BSN",10.04264894985
"805",19.1913618010522
"624",26.6951286261631
"NX2",26.0262733623933
"706",49.3009554140127
"51A",14.34730049744
"46",17.2425048489886
"80",11.2660352705825
"S",30.6208203125
"NXC",33.5376712328767
"46L",18.1758734655335
"621",18.5801033591731
"NL",21.3505680791851
"12",13.3869215342034
"67",14.790408230999
"U",20.2403518934183
"626",22.3840830449827
"239",19.8618629030613
"663",15.9306501547988
"P",16.6639741518578
"671",23.4233676975945
"O",25.3781810187578
"215",18.1357129402901
"688",17.3649598393574
"72",15.5598187816648
"33",14.0429537894751
"19",14.8369526777954
"45",16.5535944898838
"625",16.520278833967
"CB",23.0689910065295
"57",15.5118197084912
"NX3",25.1299411845165
"701",53.2283870967742
"604",21.7196202531646
"96",15.1753515849997
"39",22.0587190082645
"648",16.5678894711768
"1",13.6562440355381
"72M",15.1998333979634
